id_user,ab
"f966752c-8533-48b2-af6f-8c6797d2b247","treatment"
"873f93fb-234c-4cfb-83c7-27ff0e582a8e","treatment"
"7308791e-04c3-416a-be2d-4188816decc2","control"
"097c48a4-f4b6-4870-bf29-370e33de868e","control"
"6ff7a902-541b-4eee-ace4-673262b95a94","control"
"ff3d6a6a-7748-41f8-8a3f-fdc26ca21650","control"
"29aa3e61-fefe-476b-a3c2-13c73bdabcc9","treatment"
"c494e78e-7466-47ef-b5ba-c630f1a7f39c","control"
"43b3e096-66d3-4d44-a1f7-116452df35fd","control"
"c24131a1-10bc-4d16-9425-4390ff2fe74c","treatment"
"7bd7d2b5-040c-4a72-8bba-7bd8da14cb7f","treatment"
"ef804f0b-21a7-46d0-ae91-da812a72f763","control"
"9e4e506e-29c8-421b-acac-ca6ee984e9a2","treatment"
"ae47170c-b631-46bb-b8d5-37c1f2797de1","control"
"85fb715e-fc0f-49ac-832d-b20015cbbea4","control"
"75b02483-b183-401b-91a5-a9bd3339e607","control"
"b27d82bb-f8f6-4da3-bcd0-b206574ab78d","control"
"ee0a90f6-e3f5-4b54-8c44-50dcded92f08","treatment"
"ee0a90f6-e3f5-4b54-8c44-50dcded92f08","treatment"
"700a4f22-3079-422b-88fe-f40d3c4a16f9","control"
"47d23726-0d3e-417d-930e-c2c039ae33c7","treatment"
"092642d6-3f49-4b45-bd12-df1f76f04e72","treatment"
"9977fab9-2d49-4072-aec1-47af311df280","treatment"
"0bb81f3b-5338-4366-b703-114a163a2e4a","treatment"
"e30fddad-04f2-4ed5-9b36-f097a608f8e0","treatment"
"3ec6f772-9416-4412-a3a2-9e14c07077c6","treatment"
"6b65ee53-a473-4ca6-a126-851723cc77f6","control"
"115bba70-0f0e-4b84-83f9-f324d2d6e6e1","control"
"1bbb2eca-c1e0-4abe-865a-241a27ba5e30","treatment"
"0a10c056-cfe3-4121-8a77-f6c65c074846","treatment"
"98f93a19-b6e4-4fe2-a7d5-f4645fa773d5","control"
"f705c18f-ba0f-48a2-95f0-1592182e8064","control"
"d3a9f768-033d-4cc0-b769-06515408a7d6","treatment"
"e60f8fbe-3194-48cb-a2ab-e197d00f71aa","treatment"
"e60f8fbe-3194-48cb-a2ab-e197d00f71aa","treatment"
"c9c447aa-9131-4557-9e00-01876ec71257","control"
"504c9aba-9862-415e-915d-460821c4b0de","control"
"f78dacc1-1838-42f8-a112-3ef942597839","control"
"3d7a1148-04c3-45a1-ac2a-763f34314ebe","treatment"
"d9945c85-259e-4280-9d9e-457a4e0f8f7d","control"
"3de7dc86-e932-4b24-abee-3b9e1177d904","control"
"bcbcde3e-0629-44f3-a28d-726e882109e2","control"
"386337eb-22aa-418a-a843-f6a39fbd1cc2","treatment"
"2f0cb03e-cd8f-4ce9-9f84-13db7b7a287d","treatment"
"8051f949-846b-4ee2-8845-a3e592db72e8","treatment"
"8051f949-846b-4ee2-8845-a3e592db72e8","control"
"1707eedc-ae39-463f-b662-2bf966a1e219","control"
"ffd2ad43-ecbf-4d28-b055-a56d8d751cea","treatment"
"0be7b993-bdbc-4e81-9f55-ac920d12d4d2","control"
"e475c749-3595-4d1c-ab11-f07b3dab10c7","control"
"df7c8500-2f70-42f2-90ae-1661c6979dd3","treatment"
"851476e1-71a4-4b99-b800-286f3295c4d4","control"
"0c750e10-b667-42ac-b7e1-75d5bb378501","control"
"58c5cba8-dd58-49f5-b1bb-69a26673aea5","treatment"
"f86af40b-a9bc-4a67-8227-dd6efeca72a4","treatment"
"697c12cc-6890-4d9f-b787-25844988fb66","treatment"
"05e8d57e-3415-47f1-96ed-a701811d3112","control"
"6af18eeb-2bd4-443d-a2ab-e9d7fdef3e4a","control"
"cd21e084-bc60-43f6-9fd6-89cf44485be6","control"
"08e044ae-2ed8-48ef-938f-483be787a8ff","treatment"
"4c3cacc0-fff7-4f56-b2f2-5e4dc555a4c1","control"
"b0ac9ae8-7cf8-4211-ba1f-292790fe536a","treatment"
"71e6433c-e505-4743-b4c5-ca4a56609d97","treatment"
"4400cdeb-ba0f-4277-b1e7-c8737455a834","control"
"f8c759bf-b6f9-4594-9975-01b545abfb1a","control"
"d1a82af3-eaff-4182-b9d9-8dc812ae3e50","treatment"
"d7b0eb51-9df9-414e-815a-908ea6c06421","control"
"1bf13473-8c6a-4b28-b21b-eeaddcff5a09","control"
"acfeabc9-511b-4be0-a52e-2c260c1d9467","control"
"fc31c8f9-1bbf-41ce-beab-b738d2931980","control"
"e8153321-d82d-45f8-a7c1-17e9fc6b608e","treatment"
"c8008f83-1bc8-4961-b4b8-6f25fefe64bf","control"
"fc6986b3-a69e-43d1-b3e5-289068d3b855","control"
"2ec5eb40-607b-4ab8-a3bf-ee055e5c01d0","treatment"
"87a60e5f-b78b-4c3b-924c-2386b37d30b3","treatment"
"088e1d56-10fd-4684-8fef-409a1673ca73","treatment"
"076821a4-de60-4d28-8bdb-28db0c1ef885","treatment"
"64445a0f-91c6-42ba-a8cf-1514e45007a1","control"
"6f2a6609-83f5-499f-b93f-8dbba46683c1","control"
"1d7d8188-a9ff-475a-b248-67d9b9e240fc","control"
"09551a48-7311-49c9-a294-60e703285e19","control"
"e2ff876f-f2a8-47e0-bf57-6bf46458d2a0","control"
"3f75145f-9081-40fe-9541-1d3025413684","treatment"
"48f257e6-a901-477f-8699-d1b161b52111","treatment"
"4b5bc51c-4b0a-4479-a361-a34eb18402e4","control"
"310e8d78-a1fe-4495-9745-3b6a519aae3e","control"
"83eda31a-7a38-4635-8aae-bc0d55595cf9","control"
"123129f0-047c-4e64-aa22-193fb8448af7","control"
"50f43a58-d235-44ed-89c8-d8f174a417bf","control"
"0acb66d2-6516-4190-9824-a8346303e922","control"
"75311ff6-86a7-4a53-9e90-7bfeddd01eb7","control"
"17dedea2-7416-420d-a8fd-8f955eb1f385","treatment"
"447ba330-b3a1-4fb4-bc46-e7ece5803ef5","treatment"
"29ada38e-784f-4308-bdc3-44a3ae2bfa44","control"
"82961f55-251e-439e-a6d4-dc8ba367b36b","treatment"
"4c7fda2f-e90b-41ce-8baa-20cac395c623","control"
"8b12dbf6-72f7-44e3-bd9d-ab11605545a1","control"
"dcbe3447-3daa-4eb8-8496-1261fee7e8a5","treatment"
"126b0a23-943a-4d28-99e5-bd82c391b58b","control"
"0f5c6b6b-2667-4ef4-882e-d151c52a2c94","treatment"
"6b17f1c0-d22b-4d03-b15c-3c9304439d59","treatment"
"74f9ce8d-fba5-467f-83d2-32a1047d0fa6","treatment"
"c1600405-e2f3-48ab-93fc-8459904cf61f","control"
"3fa18ae7-048a-43a5-b9b9-ba1d00cd7b00","treatment"
